1	171
3	203
4	368
4	165
5	318
6	206
7	171
9	415
10	363
11	222
11	363
12	686
13	681
14	347
16	69
17	430
17	224
18	146
19	148
21	422
24	314
25	26
26	426
27	206
29	172
30	362
31	197
32	141
34	246
35	334
36	637
37	409
38	174
40	137
41	283
43	519
44	429
46	137
47	187
47	185
48	336
48	352
49	73
49	362
50	141
51	199
53	360
54	31
54	30
54	57
55	132
55	159
55	49
56	424
57	169
58	187
60	195
61	359
62	681
20	141
64	349
65	687
65	309
65	230
66	75
67	211
68	134
69	154
71	615
72	671
73	340
74	375
76	141
77	30
77	364
78	686
79	561
80	21
81	184
82	206
84	422
85	429
89	365
90	411
91	179
92	171
94	24
95	637
95	277
96	189
97	171
99	68
100	155
100	157
100	273
101	152
102	438
104	341
104	272
105	39
106	173
107	409
109	422
110	197
111	274
111	291
112	68
113	15
115	45
116	45
117	483
119	686
120	349
121	187
123	412
123	281
124	658
124	2
124	63
125	187
126	191
127	349
129	68
130	129
130	281
130	35
131	212
131	182
131	281
132	141
133	206
135	21
136	142
136	279
137	33
137	204
138	519
139	409
140	187
142	380
143	422
144	422
145	347
147	691
148	409
149	671
149	35
150	143
151	207
153	615
155	218
156	195
156	193
157	195
157	201
159	177
160	674
161	609
161	36
162	620
164	438
165	409
166	199
168	483
169	276
169	293
170	171
171	409
172	608
174	618
175	561
176	561
176	555
177	444
177	77
178	138
179	138
180	181
182	414
183	173
185	425
186	15
187	7
187	270
188	17
189	483
190	397
191	375
193	215
194	445
194	234
195	601
196	422
197	194
199	27
201	250
202	171
202	176
203	374
205	209
206	469
207	347
208	72
209	575
210	635
211	178
213	576
214	615
89	365
215	608
216	127
218	422
219	438
220	438
221	671
221	456
222	586
223	599
224	587
225	587
227	527
228	673
229	232
229	676
230	561
231	438
233	576
234	576
235	6
236	416
237	510
238	417
239	349
241	358
242	429
243	469
245	375
246	305
246	304
247	163
247	294
247	678
248	255
248	608
249	109
250	99
252	572
253	356
254	572
255	562
255	459
256	403
257	469
258	469
260	614
261	378
261	51
261	226
261	228
261	161
261	55
261	451
262	395
263	237
264	425
265	441
267	583
268	267
269	495
270	561
271	96
271	95
273	443
274	553
274	554
275	462
275	671
275	670
275	451
275	285
276	684
277	483
279	553
279	552
280	552
281	629
282	365
283	411
284	107
284	106
285	599
287	344
288	495
289	608
290	438
291	384
293	604
294	111
294	87
295	608
296	481
297	524
298	581
299	409
301	249
302	47
302	453
303	585
304	608
305	409
307	483
308	615
309	669
310	79
310	265
311	385
312	386
312	385
313	386
313	385
314	61
316	607
317	495
318	430
319	469
320	469
321	476
323	12
324	427
325	323
326	469
327	469
329	561
330	457
331	495
332	117
332	483
333	406
334	406
336	406
337	561
338	422
277	483
339	383
340	120
341	244
343	10
344	409
345	422
89	365
347	586
348	474
349	107
350	437
352	561
353	116
354	331
355	565
356	385
357	385
358	561
360	137
361	137
362	137
363	600
364	261
365	561
366	483
367	519
370	616
371	520
372	145
373	104
374	405
375	426
377	343
378	616
379	561
380	599
381	504
383	599
384	669
385	541
386	83
387	469
388	421
389	299
390	299
391	689
393	483
394	611
395	565
396	365
397	483
398	5
399	565
401	427
402	343
403	541
404	288
405	345
406	131
