1	1
2	3
3	4
4	5
5	5
6	6
7	1
8	3
9	4
10	5
11	5
12	6
13	6
14	1
15	3
16	4
17	5
18	6
19	6
20	6
21	1
22	3
23	3
24	4
25	5
26	6
27	1
28	3
29	4
30	5
31	6
32	1
33	3
34	4
35	4
36	5
37	6
38	1
39	3
40	4
41	5
42	5
43	6
44	1
45	3
46	4
47	4
48	5
49	5
50	6
51	1
52	3
53	4
54	5
55	5
56	6
57	6
58	1
59	3
60	4
61	5
62	6
20	1
63	3
64	4
65	5
66	5
67	6
68	1
69	1
70	3
71	4
72	5
73	6
74	1
75	3
76	4
77	5
78	6
79	1
80	4
81	6
82	1
83	3
84	6
85	6
86	3
87	3
88	3
89	5
90	6
91	1
92	6
93	3
94	4
95	5
96	6
97	1
98	3
99	4
100	5
101	6
102	1
103	3
104	5
105	5
106	6
107	1
108	3
109	4
110	4
111	5
112	6
113	1
114	3
115	4
116	4
117	6
118	3
119	4
120	6
121	1
122	3
123	5
124	5
125	6
126	6
127	1
128	3
129	4
130	5
131	5
132	6
133	1
134	3
135	4
136	5
137	5
138	6
139	6
140	1
141	3
142	4
143	6
144	1
145	1
146	3
147	4
148	4
149	5
150	6
151	1
152	3
153	4
154	5
155	6
156	1
157	1
158	3
159	4
160	5
161	5
162	1
163	3
164	4
165	4
166	6
167	3
168	4
169	5
170	6
171	6
172	1
173	3
174	4
175	4
176	4
177	5
178	1
179	1
180	4
181	5
182	6
183	1
184	3
185	4
186	4
187	5
188	6
189	6
190	1
191	1
192	3
193	4
194	5
195	6
196	6
197	1
198	3
199	4
200	5
201	6
202	1
203	1
204	3
205	4
206	6
207	1
208	4
209	4
210	6
211	1
212	3
213	4
214	4
89	5
215	6
216	1
217	3
218	4
219	4
220	4
221	5
222	6
223	1
224	1
225	1
226	3
227	4
228	5
229	5
230	6
231	1
232	3
233	4
234	4
235	4
236	5
237	5
238	6
239	1
240	3
241	4
242	6
243	1
244	3
245	4
246	4
247	5
248	6
249	1
250	1
251	3
252	4
253	4
254	4
255	5
256	6
257	1
258	1
259	3
260	4
261	5
262	6
263	6
264	1
265	1
266	3
267	4
268	5
269	6
270	6
271	1
272	3
273	4
274	4
275	5
276	6
277	1
278	3
279	4
280	4
281	4
282	5
283	6
284	6
285	1
286	3
