20	1903 1900s physics Marie Curie Marie Curie, née Sklodowska female http://nobelprize.org/physics/laureates/1903/marie-curie.jpg France 1867 1934 http://nobelprize.org/physics/laureates/1903/marie-curie-bio.html 1911 1910s chemistry Marie Curie Marie Curie, née Sklodowska female http://nobelprize.org/chemistry/laureates/1911/marie-curie.jpg France Sorbonne University Paris France 1867 1934 http://nobelprize.org/chemistry/laureates/1911/marie-curie-bio.html http://nobelprize.org/chemistry/laureates/1911/marie-curie-lecture.html
21	1904 1900s chemistry Sir William Ramsay Sir William Ramsay male http://nobelprize.org/chemistry/laureates/1904/ramsay.jpg United Kingdom London University London United Kingdom 1852 1916 http://nobelprize.org/chemistry/laureates/1904/ramsay-bio.html http://nobelprize.org/chemistry/laureates/1904/ramsay-lecture.html
22	1904 1900s literature Frédéric Mistral Frédéric Mistral male http://nobelprize.org/literature/laureates/1904/mistral.jpg France 1830 1914 http://nobelprize.org/literature/laureates/1904/mistral-bio.html
23	1904 1900s literature José Echegaray José Echegaray y Eizaguirre male http://nobelprize.org/literature/laureates/1904/eizaguirre.jpg Spain 1832 1916 http://nobelprize.org/literature/laureates/1904/eizaguirre-bio.html
24	1904 1900s medicine Ivan Pavlov Ivan Petrovich Pavlov male http://nobelprize.org/medicine/laureates/1904/pavlov.jpg Russia Military Medical Academy St. Petersburg Russia 1849 1936 http://nobelprize.org/medicine/laureates/1904/pavlov-bio.html http://nobelprize.org/medicine/laureates/1904/pavlov-lecture.html
25	1904 1900s peace Institute of International Law Institut de droit international (Institute of International Law) http://nobelprize.org/peace/laureates/1904/international-law.jpg Belgium Ghent Belgium http://nobelprize.org/peace/laureates/1904/international-law-history.html http://nobelprize.org/peace/laureates/1904/international-law-lecture.html
26	1904 1900s physics Lord Rayleigh Lord Rayleigh (John William Strutt) male http://nobelprize.org/physics/laureates/1904/strutt.jpg United Kingdom Royal Institution of Great Britain London United Kingdom 1842 1919 http://nobelprize.org/physics/laureates/1904/strutt-bio.html http://nobelprize.org/physics/laureates/1904/strutt-lecture.html
27	1905 1900s chemistry Adolf von Baeyer Johann Friedrich Wilhelm Adolf von Baeyer male http://nobelprize.org/chemistry/laureates/1905/baeyer.jpg Germany Munich University Munich Germany 1835 1917 http://nobelprize.org/chemistry/laureates/1905/baeyer-bio.html
28	1905 1900s literature Henryk Sienkiewicz Henryk Sienkiewicz male http://nobelprize.org/literature/laureates/1905/sienkiewicz.jpg Poland 1846 1916 http://nobelprize.org/literature/laureates/1905/sienkiewicz-bio.html
29	1905 1900s medicine Robert Koch Robert Koch male http://nobelprize.org/medicine/laureates/1905/koch.jpg Germany Institute for Infectious Diseases Berlin Germany 1843 1910 http://nobelprize.org/medicine/laureates/1905/koch-bio.html http://nobelprize.org/medicine/laureates/1905/koch-lecture.html
30	1905 1900s peace Bertha von Suttner Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau female http://nobelprize.org/peace/laureates/1905/suttner.jpg Austria Honorary President Permanent International Peace Bureau Berne Switzerland Author of Lay Down Your Arms 1843 1914 http://nobelprize.org/peace/laureates/1905/suttner-bio.html http://nobelprize.org/peace/laureates/1905/suttner-lecture.html
31	1905 1900s physics Philipp Lenard Philipp Eduard Anton von Lenard male http://nobelprize.org/physics/laureates/1905/lenard.jpg Germany Kiel University Kiel Germany 1862 1947 http://nobelprize.org/physics/laureates/1905/lenard-bio.html http://nobelprize.org/physics/laureates/1905/lenard-lecture.html
32	1906 1900s chemistry Henri Moissan Henri Moissan male http://nobelprize.org/chemistry/laureates/1906/moissan.jpg France Sorbonne University Paris France 1852 1907 http://nobelprize.org/chemistry/laureates/1906/moissan-bio.html
33	1906 1900s literature Giosuè Carducci Giosuè Carducci male http://nobelprize.org/literature/laureates/1906/carducci.jpg Italy 1835 1907 http://nobelprize.org/literature/laureates/1906/carducci-bio.html
34	1906 1900s medicine Camillo Golgi Camillo Golgi male http://nobelprize.org/medicine/laureates/1906/golgi.jpg Italy Pavia University Pavia Italy 1843 1926 http://nobelprize.org/medicine/laureates/1906/golgi-bio.html http://nobelprize.org/medicine/laureates/1906/golgi-lecture.html
35	1906 1900s medicine Santiago Ramón y Cajal Santiago Ramón y Cajal male http://nobelprize.org/medicine/laureates/1906/cajal.jpg Spain Madrid University Madrid Spain 1852 1934 http://nobelprize.org/medicine/laureates/1906/cajal-bio.html http://nobelprize.org/medicine/laureates/1906/cajal-lecture.html
36	1906 1900s peace Theodore Roosevelt Theodore Roosevelt male http://nobelprize.org/peace/laureates/1906/roosevelt.jpg United States of America President United States of America Collaborator of various peace treaties 1858 1919 http://nobelprize.org/peace/laureates/1906/roosevelt-bio.html http://nobelprize.org/peace/laureates/1906/roosevelt-lecture.html
37	1906 1900s physics J.J. Thomson Joseph John Thomson male http://nobelprize.org/physics/laureates/1906/thomson.jpg United Kingdom University of Cambridge Cambridge United Kingdom 1856 1940 http://nobelprize.org/physics/laureates/1906/thomson-bio.html http://nobelprize.org/physics/laureates/1906/thomson-lecture.html
38	1907 1900s chemistry Eduard Buchner Eduard Buchner male http://nobelprize.org/chemistry/laureates/1907/buchner.jpg Germany Landwirtschaftliche Hochschule Berlin Germany 1860 1917 http://nobelprize.org/chemistry/laureates/1907/buchner-bio.html http://nobelprize.org/chemistry/laureates/1907/buchner-lecture.html
39	1907 1900s literature Rudyard Kipling Rudyard Kipling male http://nobelprize.org/literature/laureates/1907/kipling.jpg United Kingdom 1865 1936 http://nobelprize.org/literature/laureates/1907/kipling-bio.html
40	1907 1900s medicine Alphonse Laveran Charles Louis Alphonse Laveran male http://nobelprize.org/medicine/laureates/1907/laveran.jpg France Institut Pasteur Paris France 1845 1922 http://nobelprize.org/medicine/laureates/1907/laveran-bio.html http://nobelprize.org/medicine/laureates/1907/laveran-lecture.html
41	1907 1900s peace Ernesto Teodoro Moneta Ernesto Teodoro Moneta male http://nobelprize.org/peace/laureates/1907/moneta.jpg Italy President Lombard League of Peace http://nobelprize.org/peace/laureates/1907/moneta-bio.html http://nobelprize.org/peace/laureates/1907/moneta-lecture.html
42	1907 1900s peace Louis Renault Louis Renault male http://nobelprize.org/peace/laureates/1907/renault.jpg France Professor International Law http://nobelprize.org/peace/laureates/1907/renault-bio.html http://nobelprize.org/peace/laureates/1907/renault-lecture.html
43	1907 1900s physics Albert A. Michelson Albert Abraham Michelson male http://nobelprize.org/physics/laureates/1907/michelson.jpg United States of America University of Chicago Chicago Illinois United States of America 1852 1931 http://nobelprize.org/physics/laureates/1907/michelson-bio.html http://nobelprize.org/physics/laureates/1907/michelson-lecture.html
44	1908 1900s chemistry Ernest Rutherford Ernest Rutherford male http://nobelprize.org/chemistry/laureates/1908/rutherford.jpg United Kingdom New Zealand Victoria University Manchester United Kingdom 1871 1937 http://nobelprize.org/chemistry/laureates/1908/rutherford-bio.html http://nobelprize.org/chemistry/laureates/1908/rutherford-lecture.html
45	1908 1900s literature Rudolf Eucken Rudolf Christoph Eucken male http://nobelprize.org/literature/laureates/1908/eucken.jpg Germany 1846 1926 http://nobelprize.org/literature/laureates/1908/eucken-bio.html http://nobelprize.org/literature/laureates/1908/eucken-lecture.html
46	1908 1900s medicine Ilya Mechnikov Ilya Ilyich Mechnikov male http://nobelprize.org/medicine/laureates/1908/mechnikov.jpg Russia Institut Pasteur Paris France 1845 1916 http://nobelprize.org/medicine/laureates/1908/mechnikov-bio.html http://nobelprize.org/medicine/laureates/1908/mechnikov-lecture.html
47	1908 1900s medicine Paul Ehrlich Paul Ehrlich male http://nobelprize.org/medicine/laureates/1908/ehrlich.jpg Germany Goettingen University Goettingen Germany Königliches Institut für experimentelle Therapie Frankfurt-on-the-Main Germany 1854 1915 http://nobelprize.org/medicine/laureates/1908/ehrlich-bio.html http://nobelprize.org/medicine/laureates/1908/ehrlich-lecture.html
