1	Allied Reparation Commission
2	Allied Reparation Commission	Chairman
3	Argentina
4	Argentina	Buenos Aires
5	Argentina	Buenos Aires	Institute for Biochemical Research
6	Argentina	Buenos Aires	Instituto de Biologia y Medicina Experimental
7	Argentina	Secretary of State
8	Australia
9	Australia	Canberra
10	Australia	Canberra	Australian National University
11	Australia	Melbourne
12	Australia	Melbourne	Walter and Eliza Hall Institute for Medical Research
13	Austria
14	Austria	Graz
15	Austria	Graz	Graz University
16	Austria	Innsbruck
17	Austria	Innsbruck	Innsbruck University
18	Austria	Institut für vergleichende Verhaltensforschung
19	Austria	Institut für vergleichende Verhaltensforschung	Österreichische Akademie der Wissenschaften
20	Austria	Vienna
21	Austria	Vienna	Vienna University
22	Belgium
23	Belgium	Brussels
24	Belgium	Brussels	Brussels University
25	Belgium	Brussels	Université Libre de Bruxelles
26	Belgium	Ghent
27	Belgium	Ghent	Ghent University
28	Belgium	Louvain
29	Belgium	Louvain	Université Catholique de Louvain
30	Belgium	Member of Parliament
31	Belgium	ex-Prime Minister
32	Berlin University
33	Berlin University	Professor
34	Briand-Kellogg Pact
35	Briand-Kellogg Pact	Part-originator
36	Briand-Kellogg Pact	Promoter
37	Brussels
38	Brussels	Inter-Parliamentary Union
39	Brussels	Inter-Parliamentary Union	Secretary General
40	Canada
41	Canada	Ontario
42	Canada	Ontario	Ottawa
43	Canada	Ontario	Ottawa	National Research Council of Canada
44	Canada	Ontario	Toronto
45	Canada	Ontario	Toronto	University of Toronto
46	Canada	Pugwash
47	Canada	former Secretary of State for External Affairs
48	Committee for the Defense of National Interests and International Conciliation
49	Committee for the Defense of National Interests and International Conciliation	Founder
50	Conseil national économique
51	Conseil national économique	President
52	Costa Rica
53	Costa Rica	President
54	Council of I.L.O.
55	Council of I.L.O.	Member
56	Cour Internationale d'arbitrage at the Hague
57	Cour Internationale d'arbitrage at the Hague	Member
58	Czechoslovakia
59	Czechoslovakia	Prague
60	Czechoslovakia	Prague	Czechoslovak Academy of Science
61	Czechoslovakia	Prague	Czechoslovak Academy of Science	Polarographic Institute
62	Dawes Plan
63	Dawes Plan	Originator
64	Denmark
65	Denmark	Aarhus
66	Denmark	Aarhus	Aarhus University
67	Denmark	Copenhagen
68	Denmark	Copenhagen	Copenhagen University
69	Denmark	Copenhagen	Finsen Medical Light Institute
70	Denmark	Copenhagen	Niels Bohr Institute
71	Denmark	Copenhagen	Nordita
72	Denmark	Copenhagen	Polytechnic Institute
73	Denmark	Member of Parliament
74	Die Friedenswarte
75	Die Friedenswarte	Founder
76	Disarmament Conference in 1932
77	Disarmament Conference in 1932	President
78	Dominican Order
79	Dominican Order	Father
80	Egypt
81	Egypt	President
82	European Court for Human Rights
83	European Court for Human Rights	President
84	Executive Committee of the PLO
85	Executive Committee of the PLO	Chairman
86	Federal Republic of Germany
87	Federal Republic of Germany	Bad Kreuznach
88	Federal Republic of Germany	Berlin
89	Federal Republic of Germany	Berlin	Fritz-Haber-Institut der Max-Planck-Gesellschaft
90	Federal Republic of Germany	Bonn
91	Federal Republic of Germany	Bonn	Rheinische Friedrich-Wilhelms-Universität
92	Federal Republic of Germany	Bonn	University of Bonn
93	Federal Republic of Germany	Breisgau
94	Federal Republic of Germany	Breisgau	Freiburg
95	Federal Republic of Germany	Breisgau	Freiburg	Staatliches Institut für makromolekulare Chemie
96	Federal Republic of Germany	Breisgau	Freiburg	University of Freiburg
97	Federal Republic of Germany	Chancellor
98	Federal Republic of Germany	Cologne
99	Federal Republic of Germany	Cologne	Cologne University
